City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Port Elizabeth,-33.918,25.5701,63.1,94,90,10.36,ZA,2021-12-04 22:29:52,light rain
1,Vaini,-21.2,-175.2,84.36,74,40,12.66,TO,2021-12-04 22:28:14,light rain
2,Dudinka,69.4058,86.1778,-30.39,100,92,5.57,RU,2021-12-04 22:35:05,overcast clouds
3,Kodiak,57.79,-152.4072,26.11,68,90,8.05,US,2021-12-04 22:28:28,overcast clouds
4,Rikitea,-23.1203,-134.9692,76.06,71,40,10.0,PF,2021-12-04 22:23:06,scattered clouds
5,Ilulissat,69.2167,-51.1,37.42,52,20,31.07,GL,2021-12-04 22:27:09,few clouds
6,Ulagan,50.6321,87.9563,6.37,88,35,2.77,RU,2021-12-04 22:35:05,scattered clouds
7,Albany,42.6001,-73.9662,41.81,73,85,7.05,US,2021-12-04 22:25:05,overcast clouds
8,Dikson,73.5069,80.5464,-22.86,100,100,9.75,RU,2021-12-04 22:27:02,overcast clouds
9,Pala,9.3642,14.9046,78.04,28,88,6.82,TD,2021-12-04 22:35:05,overcast clouds
10,Busselton,-33.65,115.3333,56.08,68,1,10.65,AU,2021-12-04 22:23:00,clear sky
11,Saint-Philippe,-21.3585,55.7679,76.55,83,29,9.28,RE,2021-12-04 22:31:30,scattered clouds
12,Hobart,-42.8794,147.3294,57.25,56,40,1.99,AU,2021-12-04 22:23:24,scattered clouds
13,Georgetown,5.4112,100.3354,78.89,84,20,9.22,MY,2021-12-04 22:25:24,few clouds
14,Kapaa,22.0752,-159.319,72.12,68,75,1.01,US,2021-12-04 22:28:21,broken clouds
15,Butaritari,3.0707,172.7902,83.21,78,28,19.98,KI,2021-12-04 22:33:54,scattered clouds
16,Sao Felix Do Xingu,-6.6447,-51.995,73.62,96,100,1.41,BR,2021-12-04 22:35:06,overcast clouds
17,Phan Thiet,10.9333,108.1,66.94,77,31,4.25,VN,2021-12-04 22:35:06,scattered clouds
18,Mocajuba,-2.5842,-49.5072,75.87,93,100,0.45,BR,2021-12-04 22:35:07,overcast clouds
19,Ushuaia,-54.8,-68.3,51.46,54,40,19.57,AR,2021-12-04 22:27:05,scattered clouds
20,Mahebourg,-20.4081,57.7,77.29,78,20,5.75,MU,2021-12-04 22:29:13,few clouds
21,Zeya,53.75,127.2667,4.41,77,100,3.65,RU,2021-12-04 22:35:07,overcast clouds
22,Klaksvik,62.2266,-6.589,34.72,58,100,19.98,FO,2021-12-04 22:34:01,overcast clouds
23,Sabha,27.0377,14.4283,48.02,38,3,4.5,LY,2021-12-04 22:35:07,clear sky
24,Kefalos,36.7453,26.9589,59.22,82,75,13.8,GR,2021-12-04 22:35:08,broken clouds
25,Aldan,58.6031,125.3894,17.06,90,98,9.33,RU,2021-12-04 22:35:08,overcast clouds
26,Redlands,34.0556,-117.1825,79.68,44,1,0.0,US,2021-12-04 22:35:08,haze
27,Ust-Omchug,61.15,149.6333,-39.28,100,96,0.58,RU,2021-12-04 22:35:09,overcast clouds
28,Parabel,58.6978,81.4825,20.32,93,100,9.35,RU,2021-12-04 22:35:09,overcast clouds
29,Faanui,-16.4833,-151.75,81.39,66,38,14.38,PF,2021-12-04 22:28:13,scattered clouds
30,Lorengau,-2.0226,147.2712,84.34,78,100,18.41,PG,2021-12-04 22:35:09,moderate rain
31,Atuona,-9.8,-139.0333,78.51,74,8,17.72,PF,2021-12-04 22:29:15,clear sky
32,Wajir,1.7471,40.0573,76.64,77,41,11.72,KE,2021-12-04 22:35:10,scattered clouds
33,Dongsheng,39.8161,109.9776,26.38,29,0,8.48,CN,2021-12-04 22:35:10,clear sky
34,Micheweni,-4.9667,39.8333,78.12,82,23,4.63,TZ,2021-12-04 22:35:10,light rain
35,Akonolinga,3.7667,12.25,73.15,83,83,2.04,CM,2021-12-04 22:35:11,broken clouds
36,Saskylakh,71.9167,114.0833,-19.53,98,100,5.57,RU,2021-12-04 22:30:57,overcast clouds
37,Lavrentiya,65.5833,-171.0,6.46,91,36,3.18,RU,2021-12-04 22:27:07,scattered clouds
38,Udachnyy,66.4167,112.4,-19.55,68,99,18.1,RU,2021-12-04 22:35:11,overcast clouds
39,Dodge City,37.7528,-100.0171,56.21,54,1,4.0,US,2021-12-04 22:35:11,clear sky
40,Zalha,47.1833,23.5333,27.09,86,84,3.83,RO,2021-12-04 22:35:12,broken clouds
41,Arraial Do Cabo,-22.9661,-42.0278,73.53,80,6,8.34,BR,2021-12-04 22:28:12,clear sky
42,Cape Town,-33.9258,18.4232,64.27,85,75,1.99,ZA,2021-12-04 22:25:10,light rain
43,Srednekolymsk,67.45,153.6833,-42.0,100,67,2.3,RU,2021-12-04 22:36:12,broken clouds
44,Kenora,49.8167,-94.4337,17.58,67,40,4.61,CA,2021-12-04 22:31:17,scattered clouds
45,Egvekinot,66.3167,-179.1667,-19.82,86,54,7.29,RU,2021-12-04 22:36:12,broken clouds
46,Chokurdakh,70.6333,147.9167,-40.41,100,58,2.59,RU,2021-12-04 22:36:13,broken clouds
47,Hualmay,-11.0964,-77.6139,69.15,80,97,8.48,PE,2021-12-04 22:29:12,overcast clouds
48,Tucumcari,35.1717,-103.725,61.95,31,1,8.05,US,2021-12-04 22:36:13,clear sky
49,Saldanha,-33.0117,17.9442,60.85,89,100,9.78,ZA,2021-12-04 22:36:14,light rain
50,Lewisporte,49.2499,-55.0482,25.18,59,17,12.71,CA,2021-12-04 22:36:14,few clouds
51,Alice Springs,-23.7,133.8833,78.35,25,22,10.36,AU,2021-12-04 22:32:44,few clouds
52,Banes,20.9625,-75.7186,75.81,84,69,8.99,CU,2021-12-04 22:36:14,broken clouds
53,Sitka,57.0531,-135.33,30.09,80,75,9.22,US,2021-12-04 22:30:26,broken clouds
54,Awjilah,29.1081,21.2869,58.78,47,32,17.76,LY,2021-12-04 22:36:14,scattered clouds
55,Dalton,34.7698,-84.9702,67.78,74,90,0.0,US,2021-12-04 22:31:16,overcast clouds
56,Hambantota,6.1241,81.1185,77.23,86,79,4.29,LK,2021-12-04 22:36:15,broken clouds
57,Port Lincoln,-34.7333,135.8667,60.67,68,100,12.21,AU,2021-12-04 22:31:39,overcast clouds
58,Yulara,-25.2406,130.9889,71.44,43,35,18.41,AU,2021-12-04 22:36:15,scattered clouds
59,Jamestown,42.097,-79.2353,38.79,65,75,8.01,US,2021-12-04 22:27:01,broken clouds
60,Yellowknife,62.456,-114.3525,-26.59,91,20,3.44,CA,2021-12-04 22:22:25,few clouds
61,Porto Santo,33.072,-16.3415,66.11,68,75,16.11,PT,2021-12-04 22:36:16,broken clouds
