City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pisco,PE,2021-11-28 21:22:28,-13.7,-76.2167,69.85,73,0,23.02
1,Esperance,AU,2021-11-28 21:22:29,-33.8667,121.9,64.24,89,95,16.08
2,Namibe,AO,2021-11-28 21:22:29,-15.1961,12.1522,69.42,76,92,5.48
3,Beringovskiy,RU,2021-11-28 21:22:29,63.05,179.3167,3.65,96,98,5.01
4,Bloomingdale,US,2021-11-28 21:21:56,27.8936,-82.2404,68.32,41,1,3.44
5,Lebu,CL,2021-11-28 21:22:30,-37.6167,-73.65,56.28,70,5,19.35
6,Thompson,CA,2021-11-28 21:22:30,55.7435,-97.8558,5.16,85,40,0.0
7,Dikson,RU,2021-11-28 21:22:30,73.5069,80.5464,-15.25,100,100,11.92
8,Rikitea,PF,2021-11-28 21:22:30,-23.1203,-134.9692,76.73,74,11,16.35
9,Hobart,AU,2021-11-28 21:21:19,-42.8794,147.3294,57.06,77,0,8.05
10,Taoudenni,ML,2021-11-28 21:22:31,22.6783,-3.9836,68.72,21,3,10.31
11,Port Alfred,ZA,2021-11-28 21:22:31,-33.5906,26.891,66.2,80,6,10.4
12,Kahului,US,2021-11-28 21:22:31,20.8947,-156.47,80.62,57,20,19.57
13,Punta Arenas,CL,2021-11-28 21:22:31,-53.15,-70.9167,46.51,66,75,25.32
14,New Norfolk,AU,2021-11-28 21:22:32,-42.7826,147.0587,56.7,74,58,2.35
15,Qaanaaq,GL,2021-11-28 21:22:32,77.484,-69.3632,-8.21,77,23,8.23
16,Busselton,AU,2021-11-28 21:22:32,-33.65,115.3333,61.63,80,38,7.92
17,Vaini,TO,2021-11-28 21:22:33,-21.2,-175.2,80.76,78,20,10.36
18,Bubaque,GW,2021-11-28 21:22:33,11.2833,-15.8333,83.39,70,68,14.29
19,Muyezerskiy,RU,2021-11-28 21:22:33,63.9333,31.65,4.21,99,98,3.15
20,Panacan,PH,2021-11-28 21:22:33,9.2463,118.4082,78.85,81,100,6.08
21,Bayir,TR,2021-11-28 21:22:34,37.2687,28.2167,64.92,68,100,9.53
22,Atambua,ID,2021-11-28 21:22:34,-9.1061,124.8925,74.55,82,100,2.46
23,Atuona,PF,2021-11-28 21:22:34,-9.8,-139.0333,78.53,72,1,18.23
24,Vila Praia De Ancora,PT,2021-11-28 21:22:35,41.811,-8.8526,54.46,87,55,14.25
25,Sisimiut,GL,2021-11-28 21:22:35,66.9395,-53.6735,31.44,86,100,10.56
26,Lorengau,PG,2021-11-28 21:22:35,-2.0226,147.2712,80.91,79,98,2.39
27,Tiksi,RU,2021-11-28 21:22:35,71.6872,128.8694,-13.72,99,99,6.53
28,Aripuana,BR,2021-11-28 21:22:36,-9.1667,-60.6333,82.18,73,92,0.85
29,Praia,CV,2021-11-28 21:22:36,14.9215,-23.5087,75.74,69,40,24.16
30,Tasiilaq,GL,2021-11-28 21:22:36,65.6145,-37.6368,26.76,96,97,2.39
31,Husavik,IS,2021-11-28 21:22:37,66.0449,-17.3389,28.31,95,100,5.06
32,Nioro,GM,2021-11-28 21:22:37,13.35,-15.75,86.61,22,31,12.55
33,Katsuura,JP,2021-11-28 21:22:37,35.1333,140.3,42.91,56,5,2.06
34,Ponta Do Sol,PT,2021-11-28 21:22:37,32.6667,-17.1,65.03,77,51,8.61
35,Cape Town,ZA,2021-11-28 21:19:14,-33.9258,18.4232,63.01,94,40,4.61
36,Kodiak,US,2021-11-28 21:22:38,57.79,-152.4072,13.51,44,1,3.44
37,Lompoc,US,2021-11-28 21:22:38,34.6391,-120.4579,82.71,24,1,11.5
38,Curitibanos,BR,2021-11-28 21:22:38,-27.2828,-50.5844,72.18,67,95,4.9
39,Ushuaia,AR,2021-11-28 21:21:08,-54.8,-68.3,47.82,66,75,24.16
40,Albany,US,2021-11-28 21:22:39,42.6001,-73.9662,30.85,84,91,2.98
41,Barra Do Garcas,BR,2021-11-28 21:22:39,-15.89,-52.2567,85.84,66,70,2.77
42,Mar Del Plata,AR,2021-11-28 21:22:39,-38.0023,-57.5575,63.27,90,100,15.3
43,Astana,KZ,2021-11-28 21:22:39,51.1801,71.446,-2.25,78,61,11.18
44,Castro,BR,2021-11-28 21:22:40,-24.7911,-50.0119,75.43,60,85,3.74
45,East London,ZA,2021-11-28 21:22:40,-33.0153,27.9116,69.12,74,26,5.84
46,Barrow,US,2021-11-28 21:23:40,71.2906,-156.7887,-11.18,70,90,11.5
47,Portland,US,2021-11-28 21:18:48,45.5234,-122.6762,62.58,65,75,14.97
48,Saint George,US,2021-11-28 21:23:41,37.1041,-113.5841,77.47,20,1,0.0
49,Gat,IL,2021-11-28 21:23:41,31.61,34.7642,63.28,39,20,0.47
50,Aksu,CN,2021-11-28 21:22:48,41.1231,80.2644,26.28,60,5,3.47
51,Pizhma,RU,2021-11-28 21:23:41,57.8642,47.1171,34.21,93,100,9.8
52,Fairbanks,US,2021-11-28 21:23:42,64.8378,-147.7164,-27.44,72,1,0.0
53,Paita,PE,2021-11-28 21:23:42,-5.0892,-81.1144,73.96,75,71,17.13
